"","Category","x"
"334","Turkish",273
"101","Francien",258
"145","Jurchen",240
"222","Muscovite",230
"94","English",203
"115","Greek",194
"258","Polish",191
"43","Bornean",188
"239","Occitan",186
"199","Marathi",181
"93","Egyptian",178
"270","Rhenish",178
"315","Taino",176
"38","Bengali",171
"283","Saxon",165
"307","Sumatran",164
"97","Filipino",161
"292","Siamese",158
"148","Kannada",155
"326","Togoku",154
"180","Lokono",145
"276","Saigoku",145
"111","Ge",143
"310","Swabian",143
"249","Panjabi",142
"157","Khmer",139
"56","Carib",137
"254","Persian",137
"233","Novgorodian",136
"273","Ruthenian",136
"314","Syrian",136
"302","Somali",135
"319","Telugu",132
"87","Danish",129
"182","Lower Saxon",129
"262","Portuguese",129
"340","Uzbek",128
"24","Austrian",127
"153","Kazakh",127
"192","Malayan",127
"317","Tamil",126
"219","Moroccan",125
"165","Korean",124
"344","Walloon",124
"49","Burgundian",123
"269","Rajasthani",122
"33","Bavarian",120
"306","Sulawesi",119
"333","Tupinamba",119
"349","Wu",114
"39","Berber",111
"57","Castilian",111
"128","Hindavi",111
"141","Jianghuai",110
"14","Andalusian",109
"82","Czech",104
"7","Aimara",103
"259","Polynesian",103
"58","Catalan",101
"342","Vietnamese",101
"201","Mashriqi",99
"139","Javanese",98
"173","Lao",98
"90","Dutch",96
"227","Neapolitan",96
"341","Venetian",96
"366","Zhongyuan",96
"156","Khalkha",95
"355","Yemeni",95
"99","Flemish",94
"322","Tibetan",94
"331","Tunisian",94
"181","Lombard",93
"311","Swahili",93
"26","Azerbaijani",92
"27","Aztec",91
"313","Swiss",91
"336","Tuscan",91
"6","Afghan",90
"40","Bihari",90
"312","Swedish",90
"339","Uyghur",89
"137","Irish",88
"168","Kurdish",88
"351","Xibei",88
"50","Burmese",87
"110","Gascon",86
"260","Pomeranian",86
"272","Romanian",85
"213","Mishar",84
"190","Malagasy",83
"271","Romagnol",83
"286","Serbian",83
"25","Avadhi",82
"80","Crimean",82
"360","Yucatec",82
"221","Muisca",81
"123","Hausa",80
"264","Prussian",80
"52","Byelorussian",78
"218","Mongol",78
"163","Kongolese",77
"275","Ryazanian",76
"365","Zhili",75
"34","Bedouin",74
"112","Georgian",74
"160","Khorasani",74
"268","Quechua",74
"287","Shan",74
"102","Franconian",73
"13","Amhara",72
"154","Kazani",72
"212","Min",72
"216","Moluccan",72
"232","Norwegian",72
"294","Sichuanese",72
"337","Umbrian",72
"329","Tuareg",71
"131","Hungarian",70
"62","Cham",69
"308","Sundanese",69
"347","Westphalian",69
"20","Armenian",68
"142","Jin",68
"183","Luba",68
"240","Oirat",68
"118","Gujarati",67
"179","Lithuanian",67
"217","Mon",67
"230","Nogai",66
"256","Piman",66
"117","Guarani",65
"197","Maori",65
"169","Kuric",64
"47","Bulgarian",63
"124","Hejazi",62
"164","Korchin",62
"229","Nguni",62
"171","Kyushuan",61
"295","Sicilian",61
"113","Gondi",60
"51","Buryat",59
"234","Nubian",59
"22","Astrakhani",58
"290","Shona",58
"236","Nusa Tenggara",57
"288","Shandong",57
"54","Cantonese",56
"96","Evenk",56
"3","Acehnese",55
"46","Breton",55
"159","Khon Muang",55
"252","Pawnee",55
"359","Yoruba",55
"237","Nyasa",54
"338","Uralic",54
"196","Malvi",53
"228","Nepali",53
"155","Khaleeji",52
"176","Leonese",52
"204","Mazandarani",52
"255","Piedmontese",52
"59","Catawba",50
"303","Songhai",50
"134","Illini",49
"263","Powhatan",49
"16","Anishinabe",48
"138","Iroquois",48
"149","Kanuri",48
"177","Ligurian",48
"284","Scottish",48
"297","Silesian",48
"298","Sindhi",48
"12","Algerian",47
"29","Baluchi",47
"175","Laurentian",47
"274","Rwandan",47
"158","Khoisan",46
"241","Omani",46
"170","Kyrgyz",45
"293","Siberian",45
"296","Sidamo",45
"343","Vindhyan",45
"348","Wichita",45
"193","Mali",44
"281","Saurashtri",44
"53","Caddo",43
"130","Hubei",43
"300","Slovak",43
"328","Transylvanian",43
"2","Abenaki",42
"15","Anicinabe",42
"89","Diaguita",42
"121","Hakka",42
"289","Shawnee",42
"81","Croatian",41
"88","Delaware",41
"106","Gamilaraay",40
"127","Highlander",40
"277","Salish",40
"9","Akan",39
"21","Assamese",39
"78","Cree",39
"83","Dagestani",39
"135","Innu-Naskapi",39
"191","Malayalam",39
"211","Mikmaq",39
"248","Paman",39
"354","Yamasee",39
"55","Caran",38
"79","Creek",38
"86","Dalmatian",38
"108","Ganda",38
"285","Senegambian",38
"44","Bosnian",37
"70","Chinook",37
"242","Oriya",37
"17","Aragonese",36
"45","Bozo",36
"244","Ostyak",36
"28","Bai",35
"31","Bashkir",35
"225","Natchez",35
"266","Purepecha",35
"69","Chin",34
"109","Garjati",34
"231","Norman",34
"320","Tepic",34
"30","Bambara",33
"66","Chichimecan",33
"107","Gan",33
"206","Mbundu",33
"220","Mossi",33
"238","Nyoongah",33
"324","Tionontate",33
"350","Xiang",33
"126","Highland Mayan",32
"129","Huarpe",32
"174","Latvian",32
"185","Luri",32
"63","Charruan",31
"103","Frisian",31
"202","Massachusset",31
"299","Sinhalese",31
"214","Miskito",30
"250","Papuan",30
"251","Patagonian",30
"279","Samoyed",30
"104","Fulani",29
"208","Mescalero",29
"280","Sardinian",29
"301","Slovene",29
"357","Yokuts",29
"105","Galician",28
"323","Tigray",28
"325","Tlapanec",28
"353","Yakut",28
"367","Zhuang",28
"73","Choctaw",27
"98","Finnish",27
"125","Het",27
"188","Maipurean",27
"261","Pontic",27
"304","Soninke",27
"318","Tecos",27
"91","Dyola",26
"95","Estonian",26
"150","Karelian",26
"162","Kochi",26
"215","Mixtec",26
"265","Pueblo",26
"309","Susquehannock",25
"356","Yi",25
"361","Yuchi",25
"42","Blackfoot",24
"68","Chimuan",24
"132","Huron",24
"167","Kulin",24
"194","Maliseet",24
"207","Melanesian",24
"223","Myaamia",24
"32","Basque",23
"335","Turkmeni",23
"23","Athabascan",22
"67","Chickasaw",22
"122","Harari",22
"364","Zapotek",22
"72","Chiwere",21
"85","Dakota",21
"152","Kashmiri",21
"178","Lipan",21
"198","Mapuche",21
"203","Matlantzinca",21
"330","Tungus",21
"10","Albanian",20
"18","Arakanese",20
"76","Circassian",20
"184","Lunda",20
"267","Putun",20
"200","Masaba",19
"291","Shoshone",19
"363","Yura",19
"11","Aleutian",18
"36","Bemba",18
"61","Chacoan",18
"71","Chipewyan",18
"119","Gunwinyguan",18
"224","Nakota",18
"247","Palawa",18
"278","Sami",18
"316","Takama",18
"362","Yukaghir",18
"5","Afar",17
"136","Inuit",17
"186","Mahican",17
"253","Pequot",17
"358","Yoron",17
"143","Jivaro",16
"166","Kuba",16
"187","Mahri",16
"189","Makua",16
"205","Mbangala",16
"346","Welsh",16
"8","Ainu",15
"75","Chontales",15
"140","Jharkandi",15
"146","Kachin",15
"147","Kamchatkan",15
"172","Lacandon",15
"305","Sorbian",15
"327","Totonac",15
"332","Tunjur",15
"35","Beja",14
"41","Bilala",14
"210","Miao",14
"246","Pahari",14
"352","Yaka",13
"92","Eastern Apache",12
"120","Haida",12
"235","Nupe",12
"37","Bena",11
"64","Cherokee",11
"4","Acholi",10
"282","Sawabantu",10
"48","Bungi",9
"74","Chokwe",9
"84","Dagomba",9
"114","Gothic",9
"116","Guamares",9
"133","Icelandic",9
"144","Jukun",9
"161","Kiowa",9
"209","Mesquakie",9
"243","Osage",9
"245","Otomi",9
"257","Plains Cree",9
"321","Thagiicu",9
"345","Wastek",9
"195","Maltese",8
"226","Navajo",7
"19","Arapaho",6
"60","Chachapoyan",6
"65","Cheyenne",6
"100","Fon",6
"151","Karen",6
"77","Cornish",3
"1","",NA
