"","Category","x"
"31","Germanic",1482
"45","Malay",1179
"21","Chinese",1060
"43","Levantine",1031
"30","French",866
"42","Latin",767
"3","Altaic",715
"25","East Slavic",682
"35","Iranian",612
"34","Iberian",589
"71","Western Aryan",515
"13","Caribbean",485
"27","Eastern Aryan",461
"23","Dravidian",452
"65","Tatar",442
"29","Evenki",422
"64","Tai",413
"33","Hindustani",401
"44","Maghrebi",377
"37","Japanese",360
"70","West Slavic",358
"53","Nordic",345
"22","Cushitic",319
"58","Sahelian",295
"17","Central Algonquian",292
"61","South Slavic",273
"40","Kongo",271
"9","British",270
"26","Eastern Algonquian",260
"2","Aboriginal",255
"62","Southern African",254
"51","Muskogean",253
"4","Andean",243
"14","Carpathian",241
"11","Byzantine",230
"55","Pacific",222
"46","Mande",216
"24","East Bantu",214
"50","Mon-Khmer",206
"15","Caucasian",201
"36","Iroquoian",188
"67","Tupi",184
"38","Je",174
"49","Mayan",173
"66","Tibetan",168
"10","Burman",162
"18","Central American",162
"69","West African",154
"20","Chibchan",149
"12","Caddoan",143
"16","Celtic",128
"8","Baltic",125
"41","Korean",124
"60","Sonoran",120
"68","Ugric",120
"7","Aridoamerican",112
"6","Araucanian",110
"19","Central Indian",109
"56","Penutian",106
"32","Great Lakes",104
"63","Sudanese",83
"54","Otomanguean",76
"5","Apachean",69
"59","Siouan",69
"57","Plains Algonquian",54
"52","Na-Déné",52
"28","Eskaleut",35
"39","Kamchatkan",30
"47","Maranón",22
"48","Matacoan",18
"1","",NA
